item,stimulus,stim_type,question,option1,option2,option3,option4,option5,option6,option7,scale_left_label,scale_right_label,correct,correct_label,github_commit
2016 600dpi_eyes,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2016%20600dpi_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,19888dce58f027cc990a6863a73881ca4ca6b073
2017-600,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2017-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
2018-600,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2018-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
2019-600_eyes,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2019-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,19888dce58f027cc990a6863a73881ca4ca6b073
2021-600_eyes,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2021-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,19888dce58f027cc990a6863a73881ca4ca6b073
2022-600_eyes,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2022-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,19888dce58f027cc990a6863a73881ca4ca6b073
2023-600,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2023-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
2024-600,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2024-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
2025-600_eyes,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2025-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,19888dce58f027cc990a6863a73881ca4ca6b073
2026-600,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2026-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
2027-600,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2027-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
2029-600,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2029-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
2032-600,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2032-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
2033-600,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2033-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
2034-600_eyes,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2034-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,19888dce58f027cc990a6863a73881ca4ca6b073
2035-600_eyes,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2035-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,19888dce58f027cc990a6863a73881ca4ca6b073
2036-600,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2036-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
2038-600,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2038-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
2039-600,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2039-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
2040-600_eyes,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2040-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,19888dce58f027cc990a6863a73881ca4ca6b073
2041-600,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2041-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
2042-600,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2042-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
2044-600,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2044-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
2045-600,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2045-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
2046-600,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2046-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
2047-600,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2047-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
2048-600_eyes,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2048-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,19888dce58f027cc990a6863a73881ca4ca6b073
2049-600,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2049-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
2050-600,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2050-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
2051-600,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2051-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
2052-600_eyes,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2052-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,19888dce58f027cc990a6863a73881ca4ca6b073
2053-600,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2053-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
2054-600,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2054-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
2055-600,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2055-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
2056-600_eyes,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2056-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,19888dce58f027cc990a6863a73881ca4ca6b073
2057-600,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2057-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
2059-600,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2059-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
2060-600,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2060-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
2061-600_eyes,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2061-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,19888dce58f027cc990a6863a73881ca4ca6b073
2062-600_eyes,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2062-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,19888dce58f027cc990a6863a73881ca4ca6b073
2063-600,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2063-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
2064-600,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Objects/2064-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
breaking_jar,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Sounds/breaking_jar.mp3,audio,Is this sound made by a thing or an animal?,1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
cane_toad,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Sounds/cane_toad.mp3,audio,Is this sound made by a thing or an animal?,1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,19888dce58f027cc990a6863a73881ca4ca6b073
caracal,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Sounds/caracal.mp3,audio,Is this sound made by a thing or an animal?,1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,19888dce58f027cc990a6863a73881ca4ca6b073
cash_register,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Sounds/cash_register.mp3,audio,Is this sound made by a thing or an animal?,1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
clinking_glass,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Sounds/clinking_glass.mp3,audio,Is this sound made by a thing or an animal?,1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
duct_tape,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Sounds/duct_tape.mp3,audio,Is this sound made by a thing or an animal?,1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
factory,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Sounds/factory.mp3,audio,Is this sound made by a thing or an animal?,1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
fox2,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Sounds/fox2.mp3,audio,Is this sound made by a thing or an animal?,1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,19888dce58f027cc990a6863a73881ca4ca6b073
modem,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Sounds/modem.mp3,audio,Is this sound made by a thing or an animal?,1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
moose,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Sounds/moose.mp3,audio,Is this sound made by a thing or an animal?,1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,19888dce58f027cc990a6863a73881ca4ca6b073
pika_squeak,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Sounds/pika_squeak.mp3,audio,Is this sound made by a thing or an animal?,1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,19888dce58f027cc990a6863a73881ca4ca6b073
rain_frog,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Sounds/rain_frog.mp3,audio,Is this sound made by a thing or an animal?,1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,19888dce58f027cc990a6863a73881ca4ca6b073
rotary_phone,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Sounds/rotary_phone.mp3,audio,Is this sound made by a thing or an animal?,1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
sea_lion,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Sounds/sea_lion.mp3,audio,Is this sound made by a thing or an animal?,1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,19888dce58f027cc990a6863a73881ca4ca6b073
snipe_bird,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Sounds/snipe_bird.mp3,audio,Is this sound made by a thing or an animal?,1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,19888dce58f027cc990a6863a73881ca4ca6b073
tv_static,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Sounds/tv_static.mp3,audio,Is this sound made by a thing or an animal?,1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
typewriter,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Sounds/typewriter.mp3,audio,Is this sound made by a thing or an animal?,1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
walrus,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Sounds/walrus.mp3,audio,Is this sound made by a thing or an animal?,1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,19888dce58f027cc990a6863a73881ca4ca6b073
whale_song,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Sounds/whale_song.mp3,audio,Is this sound made by a thing or an animal?,1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,19888dce58f027cc990a6863a73881ca4ca6b073
wood_breaking,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@19888dce58f027cc990a6863a73881ca4ca6b073/Sounds/wood_breaking.mp3,audio,Is this sound made by a thing or an animal?,1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,19888dce58f027cc990a6863a73881ca4ca6b073
attemtion,,,In this question please click on the number 1. This is an attention check.,1,2,3,4,5,6,7,,,1,attention,
copycat,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/copycat.jpg,object,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,
