item,folder,filename,stimulus,stim_type,question,option1,option2,option3,option4,option5,option6,option7,scale_left_label,scale_right_label,correct,correct_label
10_with_eyes,Objects,10 with eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/10%20with%20eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal
10_no_eyes,Objects,10 no eyes.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/10%20no%20eyes.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing
11_with_eyes,Objects,11 with eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/11%20with%20eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal
11_no_eyes,Objects,11 no eyes.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/11%20no%20eyes.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing
12_with_eyes,Objects,12 with eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/12%20with%20eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal
12_no_eyes,Objects,12 no eyes.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/12%20no%20eyes.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing
13_with_eyes,Objects,13 with eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/13%20with%20eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal
13_no_eyes,Objects,13 no eyes.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/13%20no%20eyes.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing
14_with_eyes,Objects,14 with eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/14%20with%20eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal
14_no_eyes,Objects,14 no eyes.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/14%20no%20eyes.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing
15_with_eyes,Objects,15 with eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/15%20with%20eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal
15_no_eyes,Objects,15 no eyes.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/15%20no%20eyes.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing
16_with_eyes,Objects,16 with eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/16%20with%20eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal
16_no_eyes,Objects,16 no eyes.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/16%20no%20eyes.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing
17_with_eyes,Objects,17 with eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/17%20with%20eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal
17_no_eyes,Objects,17 no eyes.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/17%20no%20eyes.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing
18_with_eyes,Objects,18 with eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/18%20with%20eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal
18_no_eyes,Objects,18 no eyes.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/18%20no%20eyes.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing
19_with_eyes,Objects,19 with eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/19%20with%20eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal
19_no_eyes,Objects,19 no eyes.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/19%20no%20eyes.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing
20_with_eyes,Objects,20 with eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/20%20with%20eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal
20_no_eyes,Objects,20 no eyes.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/20%20no%20eyes.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing
21_with_eyes,Objects,21 with eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/21%20with%20eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal
21_no_eyes,Objects,21 no eyes.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/21%20no%20eyes.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing
22_with_eyes,Objects,22 with eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/22%20with%20eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal
22_no_eyes,Objects,22 no eyes.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/22%20no%20eyes.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing
23_with_eyes,Objects,23 with eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/23%20with%20eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal
23_no_eyes,Objects,23 no eyes.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Objects/23%20no%20eyes.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing
breaking_jar,Sounds,breaking_jar.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Sounds/breaking_jar.mp3,audio,"On a scale of 1-7, is this sound an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing
cane_toad,Sounds,cane_toad.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Sounds/cane_toad.mp3,audio,"On a scale of 1-7, is this sound an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal
cash_register,Sounds,cash_register.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Sounds/cash_register.mp3,audio,"On a scale of 1-7, is this sound an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing
clinking_glass,Sounds,clinking_glass.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Sounds/clinking_glass.mp3,audio,"On a scale of 1-7, is this sound an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing
duct_tape,Sounds,duct_tape.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Sounds/duct_tape.mp3,audio,"On a scale of 1-7, is this sound an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing
fox1,Sounds,fox1.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Sounds/fox1.mp3,audio,"On a scale of 1-7, is this sound an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal
fox2,Sounds,fox2.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Sounds/fox2.mp3,audio,"On a scale of 1-7, is this sound an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal
moose,Sounds,moose.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Sounds/moose.mp3,audio,"On a scale of 1-7, is this sound an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal
pika_squeak,Sounds,pika_squeak.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Sounds/pika_squeak.mp3,audio,"On a scale of 1-7, is this sound an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal
rain_frog,Sounds,rain_frog.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Sounds/rain_frog.mp3,audio,"On a scale of 1-7, is this sound an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal
rotary_phone,Sounds,rotary_phone.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Sounds/rotary_phone.mp3,audio,"On a scale of 1-7, is this sound an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing
snipe_bird,Sounds,snipe_bird.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Sounds/snipe_bird.mp3,audio,"On a scale of 1-7, is this sound an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal
tv_static,Sounds,tv_static.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Sounds/tv_static.mp3,audio,"On a scale of 1-7, is this sound an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing
typewriter,Sounds,typewriter.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Sounds/typewriter.mp3,audio,"On a scale of 1-7, is this sound an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing
walrus,Sounds,walrus.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Sounds/walrus.mp3,audio,"On a scale of 1-7, is this sound an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal
whale_song,Sounds,whale_song.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Sounds/whale_song.mp3,audio,"On a scale of 1-7, is this sound an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal
wood_breaking,Sounds,wood_breaking.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@main/Sounds/wood_breaking.mp3,audio,"On a scale of 1-7, is this sound an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing
