item,file_name,stimulus,stim_type,question,option1,option2,option3,option4,option5,option6,option7,scale_left_label,scale_right_label,correct,correct_label,source_commit
2012-600_eyes,2012-600_eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2012-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,471d390c60ed2de01549e646aac7af27215831fc
2013-600_eyes,2013-600_eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2013-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,471d390c60ed2de01549e646aac7af27215831fc
2014-600,2014-600.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2014-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
2015-600,2015-600.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2015-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
2016 600dpi_eyes,2016 600dpi_eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2016%20600dpi_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,471d390c60ed2de01549e646aac7af27215831fc
2017-600,2017-600.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2017-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
2018-600,2018-600.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2018-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
2019-600_eyes,2019-600_eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2019-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,471d390c60ed2de01549e646aac7af27215831fc
2021-600_eyes,2021-600_eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2021-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,471d390c60ed2de01549e646aac7af27215831fc
2022-600_eyes,2022-600_eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2022-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,471d390c60ed2de01549e646aac7af27215831fc
2023-600,2023-600.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2023-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
2024-600,2024-600.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2024-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
2025-600_eyes,2025-600_eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2025-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,471d390c60ed2de01549e646aac7af27215831fc
2026-600,2026-600.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2026-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
2027-600,2027-600.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2027-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
2029-600,2029-600.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2029-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
2032-600,2032-600.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2032-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
2033-600,2033-600.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2033-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
2034-600_eyes,2034-600_eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2034-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,471d390c60ed2de01549e646aac7af27215831fc
2035-600_eyes,2035-600_eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2035-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,471d390c60ed2de01549e646aac7af27215831fc
2036-600,2036-600.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2036-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
2038-600,2038-600.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2038-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
2039-600,2039-600.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2039-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
2040-600_eyes,2040-600_eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2040-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,471d390c60ed2de01549e646aac7af27215831fc
2041-600,2041-600.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2041-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
2042-600,2042-600.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2042-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
2044-600,2044-600.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2044-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
2045-600,2045-600.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2045-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
2046-600,2046-600.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2046-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
2047-600,2047-600.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2047-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
2048-600_eyes,2048-600_eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2048-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,471d390c60ed2de01549e646aac7af27215831fc
2049-600,2049-600.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2049-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
2050-600,2050-600.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2050-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
2051-600,2051-600.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2051-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
2052-600_eyes,2052-600_eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2052-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,471d390c60ed2de01549e646aac7af27215831fc
2053-600,2053-600.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2053-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
2054-600,2054-600.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2054-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
2055-600,2055-600.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2055-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
2056-600_eyes,2056-600_eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2056-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,471d390c60ed2de01549e646aac7af27215831fc
2057-600,2057-600.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2057-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
2059-600,2059-600.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2059-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
2060-600,2060-600.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2060-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
2061-600_eyes,2061-600_eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2061-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,471d390c60ed2de01549e646aac7af27215831fc
2062-600_eyes,2062-600_eyes.png,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2062-600_eyes.png,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,471d390c60ed2de01549e646aac7af27215831fc
2063-600,2063-600.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2063-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
2064-600,2064-600.jpg,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Objects/2064-600.jpg,image,"On a scale of 1-7, is this item an animal or a thing?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
breaking_jar,breaking_jar.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Sounds/breaking_jar.mp3,audio,"On a scale of 1-7, is this sound made by a thing or an animal?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
cane_toad,cane_toad.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Sounds/cane_toad.mp3,audio,"On a scale of 1-7, is this sound made by a thing or an animal?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,471d390c60ed2de01549e646aac7af27215831fc
caracal,caracal.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Sounds/caracal.mp3,audio,"On a scale of 1-7, is this sound made by a thing or an animal?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,471d390c60ed2de01549e646aac7af27215831fc
cash_register,cash_register.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Sounds/cash_register.mp3,audio,"On a scale of 1-7, is this sound made by a thing or an animal?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
clinking_glass,clinking_glass.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Sounds/clinking_glass.mp3,audio,"On a scale of 1-7, is this sound made by a thing or an animal?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
duct_tape,duct_tape.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Sounds/duct_tape.mp3,audio,"On a scale of 1-7, is this sound made by a thing or an animal?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
factory,factory.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Sounds/factory.mp3,audio,"On a scale of 1-7, is this sound made by a thing or an animal?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
fox2,fox2.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Sounds/fox2.mp3,audio,"On a scale of 1-7, is this sound made by a thing or an animal?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,471d390c60ed2de01549e646aac7af27215831fc
modem,modem.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Sounds/modem.mp3,audio,"On a scale of 1-7, is this sound made by a thing or an animal?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
moose,moose.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Sounds/moose.mp3,audio,"On a scale of 1-7, is this sound made by a thing or an animal?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,471d390c60ed2de01549e646aac7af27215831fc
pika_squeak,pika_squeak.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Sounds/pika_squeak.mp3,audio,"On a scale of 1-7, is this sound made by a thing or an animal?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,471d390c60ed2de01549e646aac7af27215831fc
rain_frog,rain_frog.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Sounds/rain_frog.mp3,audio,"On a scale of 1-7, is this sound made by a thing or an animal?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,471d390c60ed2de01549e646aac7af27215831fc
rotary_phone,rotary_phone.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Sounds/rotary_phone.mp3,audio,"On a scale of 1-7, is this sound made by a thing or an animal?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
sea_lion,sea_lion.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Sounds/sea_lion.mp3,audio,"On a scale of 1-7, is this sound made by a thing or an animal?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,471d390c60ed2de01549e646aac7af27215831fc
snipe_bird,snipe_bird.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Sounds/snipe_bird.mp3,audio,"On a scale of 1-7, is this sound made by a thing or an animal?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,471d390c60ed2de01549e646aac7af27215831fc
tv_static,tv_static.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Sounds/tv_static.mp3,audio,"On a scale of 1-7, is this sound made by a thing or an animal?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
typewriter,typewriter.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Sounds/typewriter.mp3,audio,"On a scale of 1-7, is this sound made by a thing or an animal?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
walrus,walrus.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Sounds/walrus.mp3,audio,"On a scale of 1-7, is this sound made by a thing or an animal?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,471d390c60ed2de01549e646aac7af27215831fc
whale_song,whale_song.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Sounds/whale_song.mp3,audio,"On a scale of 1-7, is this sound made by a thing or an animal?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,7,animal,471d390c60ed2de01549e646aac7af27215831fc
wood_breaking,wood_breaking.mp3,https://cdn.jsdelivr.net/gh/GeniaLukin/CLAS-stimuli@471d390c60ed2de01549e646aac7af27215831fc/Sounds/wood_breaking.mp3,audio,"On a scale of 1-7, is this sound made by a thing or an animal?",1,2,3,4,5,6,7,1 - Thing,7 - Animal,1,thing,471d390c60ed2de01549e646aac7af27215831fc
